sentence,entities
"করিম খান রামপুরা, ঢাকা থেকে মাইক্রোওয়েভ অভেন কিনেছেন।","{'username': 'করিম খান', 'address': 'রামপুরা, ঢাকা', 'productname': 'মাইক্রোওয়েভ অভেন'}"
গ্রাহক আইডি-18234 টিআরএক্স-792689 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-18234', 'trnx': 'টিআরএক্স-792689'}"
কাস্টমার আইডি আইডি-25458 এর ০১৭91041598 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-25458', 'phoneno': '০১৭91041598'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর লেখা দেয়াল বইটি বাংলা একাডেমী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'দেয়াল', 'publishername': 'বাংলা একাডেমী'}"
20/03/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '20/03/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
গ্রাহক আইডি-71201 টিআরএক্স-547773 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-71201', 'trnx': 'টিআরএক্স-547773'}"
সামসাং এর রহস্য পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'সামসাং', 'categoryname': 'রহস্য'}"
শাওমি এর নতুন মাইক্রোওয়েভ অভেন এর দাম জানতে ০১৩26333797 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'মাইক্রোওয়েভ অভেন', 'phoneno': '০১৩26333797'}"
"সুফিয়া কামাল এর আত্মজীবনী বইগুলি এখন উত্তরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'আত্মজীবনী', 'address': 'উত্তরা, ঢাকা'}"
বেগম রোকেয়া এর লেখা নক্ষত্রের রাত বইটি আদর্শ প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'বেগম রোকেয়া', 'bookname': 'নক্ষত্রের রাত', 'publishername': 'আদর্শ প্রকাশন'}"
অর্ডার নং অর্ডার-8663 এর জন্য টিআরএক্স-246514 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-8663', 'trnx': 'টিআরএক্স-246514'}"
তানভীর আহমেদ সম্প্রতি পদ্মা নদীর মাঝি বইটি কিনেছেন।,"{'username': 'তানভীর আহমেদ', 'bookname': 'পদ্মা নদীর মাঝি'}"
"আমিনা খাতুন 07/07/2024 তারিখে ধানমন্ডি, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'আমিনা খাতুন', 'date': '07/07/2024', 'address': 'ধানমন্ডি, ঢাকা'}"
06/06/2024 তারিখে অর্ডার-3580 অর্ডারটি ০১৯56843361 নম্বরে ডেলিভারি হবে।,"{'date': '06/06/2024', 'orderno': 'অর্ডার-3580', 'phoneno': '০১৯56843361'}"
15/12/2024 তারিখে অর্ডার-8118 অর্ডারটি ০১৫94639778 নম্বরে ডেলিভারি হবে।,"{'date': '15/12/2024', 'orderno': 'অর্ডার-8118', 'phoneno': '০১৫94639778'}"
26/06/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '26/06/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
"রহিম আহমেদ গুলশান-২, ঢাকা থেকে ফ্রিজ কিনেছেন।","{'username': 'রহিম আহমেদ', 'address': 'গুলশান-২, ঢাকা', 'productname': 'ফ্রিজ'}"
21/04/2024 তারিখে অর্ডার-5261 অর্ডারটি ০১৮57057676 নম্বরে ডেলিভারি হবে।,"{'date': '21/04/2024', 'orderno': 'অর্ডার-5261', 'phoneno': '০১৮57057676'}"
অর্ডার নং অর্ডার-5006 এর জন্য টিআরএক্স-491570 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-5006', 'trnx': 'টিআরএক্স-491570'}"
ফাতেমা বেগম সম্প্রতি আগুনের পরশমণি বইটি কিনেছেন।,"{'username': 'ফাতেমা বেগম', 'bookname': 'আগুনের পরশমণি'}"
সুফিয়া কামাল এর লেখা আগুনের পরশমণি বইটি মাওলা ব্রাদার্স থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'আগুনের পরশমণি', 'publishername': 'মাওলা ব্রাদার্স'}"
আমিনা খাতুন এর ফ্রিজ অর্ডার অর্ডার-8923 প্রস্তুত।,"{'username': 'আমিনা খাতুন', 'productname': 'ফ্রিজ', 'orderno': 'অর্ডার-8923'}"
অর্ডার নং অর্ডার-9943 এর জন্য টিআরএক্স-774160 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-9943', 'trnx': 'টিআরএক্স-774160'}"
রবীন্দ্রনাথ ঠাকুর এর নতুন বই নক্ষত্রের রাত এর প্রি-অর্ডার অর্ডার-4687 চলছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'নক্ষত্রের রাত', 'orderno': 'অর্ডার-4687'}"
সামসাং এর নতুন স্মার্ট ফোন এর দাম জানতে ০১৮61979373 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'স্মার্ট ফোন', 'phoneno': '০১৮61979373'}"
09/10/2024 তারিখে অর্ডার-5146 অর্ডারটি ০১৩65774624 নম্বরে ডেলিভারি হবে।,"{'date': '09/10/2024', 'orderno': 'অর্ডার-5146', 'phoneno': '০১৩65774624'}"
জাহিদ হাসান সম্প্রতি চাঁদের অমাবস্যা বইটি কিনেছেন।,"{'username': 'জাহিদ হাসান', 'bookname': 'চাঁদের অমাবস্যা'}"
14/06/2024 থেকে সময় প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '14/06/2024', 'publishername': 'সময় প্রকাশন'}"
রহিম আহমেদ এর স্মার্টওয়াচ অর্ডার অর্ডার-1746 প্রস্তুত।,"{'username': 'রহিম আহমেদ', 'productname': 'স্মার্টওয়াচ', 'orderno': 'অর্ডার-1746'}"
হুয়াওয়ে এর নতুন ইনভার্টার এর দাম জানতে ০১৯95951196 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'ইনভার্টার', 'phoneno': '০১৯95951196'}"
অর্ডার নং অর্ডার-1230 এর জন্য টিআরএক্স-498359 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-1230', 'trnx': 'টিআরএক্স-498359'}"
জাহিদ হাসান সম্প্রতি আগুনের পরশমণি বইটি কিনেছেন।,"{'username': 'জাহিদ হাসান', 'bookname': 'আগুনের পরশমণি'}"
"জসীমউদ্দীন এর উপন্যাস বইগুলি এখন রামপুরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'জসীমউদ্দীন', 'categoryname': 'উপন্যাস', 'address': 'রামপুরা, ঢাকা'}"
বিশ্বসাহিত্য কেন্দ্র থেকে উপন্যাস বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'বিশ্বসাহিত্য কেন্দ্র', 'categoryname': 'উপন্যাস'}"
"সুফিয়া কামাল এর ইতিহাস বইগুলি এখন রামপুরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সুফিয়া কামাল', 'categoryname': 'ইতিহাস', 'address': 'রামপুরা, ঢাকা'}"
"সৈয়দ শামসুল হক এর উপন্যাস বইগুলি এখন উত্তরা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ শামসুল হক', 'categoryname': 'উপন্যাস', 'address': 'উত্তরা, ঢাকা'}"
"ফাতেমা বেগম গুলশান-২, ঢাকা থেকে ফ্রিজ কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'গুলশান-২, ঢাকা', 'productname': 'ফ্রিজ'}"
কাজী নজরুল ইসলাম এর লেখা শঙ্খনীল কারাগার বইটি আদর্শ প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'শঙ্খনীল কারাগার', 'publishername': 'আদর্শ প্রকাশন'}"
সৈয়দ শামসুল হক এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-5347 চলছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-5347'}"
"করিম খান মিরপুর-১০, ঢাকা থেকে স্মার্টওয়াচ কিনেছেন।","{'username': 'করিম খান', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'স্মার্টওয়াচ'}"
অর্ডার নং অর্ডার-8509 এর জন্য টিআরএক্স-561597 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-8509', 'trnx': 'টিআরএক্স-561597'}"
গ্রাহক আইডি-93096 টিআরএক্স-337385 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-93096', 'trnx': 'টিআরএক্স-337385'}"
জামিল হোসেন সম্প্রতি আমি বীরাঙ্গনা বলছি বইটি কিনেছেন।,"{'username': 'জামিল হোসেন', 'bookname': 'আমি বীরাঙ্গনা বলছি'}"
"সৈয়দ শামসুল হক এর রোমাঞ্চ বইগুলি এখন ধানমন্ডি, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ শামসুল হক', 'categoryname': 'রোমাঞ্চ', 'address': 'ধানমন্ডি, ঢাকা'}"
কাস্টমার আইডি আইডি-70811 এর ০১৭87768956 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-70811', 'phoneno': '০১৭87768956'}"
12/05/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '12/05/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
কাজী নজরুল ইসলাম এর নতুন বই হিমু এর প্রি-অর্ডার অর্ডার-1839 চলছে।,"{'authorname': 'কাজী নজরুল ইসলাম', 'bookname': 'হিমু', 'orderno': 'অর্ডার-1839'}"
রবীন্দ্রনাথ ঠাকুর এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-2517 চলছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-2517'}"
ওয়ালটন এর ইতিহাস পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'ওয়ালটন', 'categoryname': 'ইতিহাস'}"
প্যানাসনিক এর নতুন ল্যাপটপ এর দাম জানতে ০১৬73370711 নম্বরে কল করুন।,"{'brandname': 'প্যানাসনিক', 'productname': 'ল্যাপটপ', 'phoneno': '০১৬73370711'}"
"তানভীর আহমেদ 18/08/2024 তারিখে রামপুরা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '18/08/2024', 'address': 'রামপুরা, ঢাকা'}"
হুয়াওয়ে এর রোমাঞ্চ পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'হুয়াওয়ে', 'categoryname': 'রোমাঞ্চ'}"
করিম খান এর ল্যাপটপ অর্ডার অর্ডার-7350 প্রস্তুত।,"{'username': 'করিম খান', 'productname': 'ল্যাপটপ', 'orderno': 'অর্ডার-7350'}"
হুমায়ূন আহমেদ এর লেখা হিমু বইটি বাংলা একাডেমী থেকে প্রকাশিত হয়েছে।,"{'authorname': 'হুমায়ূন আহমেদ', 'bookname': 'হিমু', 'publishername': 'বাংলা একাডেমী'}"
তানভীর আহমেদ এর ইনভার্টার অর্ডার অর্ডার-3303 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'ইনভার্টার', 'orderno': 'অর্ডার-3303'}"
টশিবা এর গল্প পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'টশিবা', 'categoryname': 'গল্প'}"
হুয়াওয়ে এর নতুন স্মার্টওয়াচ এর দাম জানতে ০১৬85540480 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'স্মার্টওয়াচ', 'phoneno': '০১৬85540480'}"
11/03/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '11/03/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
প্যানাসনিক এর নতুন ওয়াশিং মেশিন এর দাম জানতে ০১৯94550565 নম্বরে কল করুন।,"{'brandname': 'প্যানাসনিক', 'productname': 'ওয়াশিং মেশিন', 'phoneno': '০১৯94550565'}"
24/06/2024 তারিখে অর্ডার-7959 অর্ডারটি ০১৭11065652 নম্বরে ডেলিভারি হবে।,"{'date': '24/06/2024', 'orderno': 'অর্ডার-7959', 'phoneno': '০১৭11065652'}"
25/07/2024 তারিখে অর্ডার-4937 অর্ডারটি ০১৮76203946 নম্বরে ডেলিভারি হবে।,"{'date': '25/07/2024', 'orderno': 'অর্ডার-4937', 'phoneno': '০১৮76203946'}"
"জাহিদ হাসান 15/09/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জাহিদ হাসান', 'date': '15/09/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
অর্ডার নং অর্ডার-2317 এর জন্য টিআরএক্স-866867 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-2317', 'trnx': 'টিআরএক্স-866867'}"
"করিম খান শান্তিনগর, ঢাকা থেকে ল্যাপটপ কিনেছেন।","{'username': 'করিম খান', 'address': 'শান্তিনগর, ঢাকা', 'productname': 'ল্যাপটপ'}"
শাওমি এর নতুন ইনভার্টার এর দাম জানতে ০১৩50644345 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'ইনভার্টার', 'phoneno': '০১৩50644345'}"
তানভীর আহমেদ সম্প্রতি চাঁদের অমাবস্যা বইটি কিনেছেন।,"{'username': 'তানভীর আহমেদ', 'bookname': 'চাঁদের অমাবস্যা'}"
সৈয়দ শামসুল হক এর লেখা হিমু বইটি আদর্শ প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ শামসুল হক', 'bookname': 'হিমু', 'publishername': 'আদর্শ প্রকাশন'}"
আহসান হাবীব এর নতুন বই শঙ্খনীল কারাগার এর প্রি-অর্ডার অর্ডার-3257 চলছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'শঙ্খনীল কারাগার', 'orderno': 'অর্ডার-3257'}"
05/10/2024 থেকে জ্ঞানকোষ প্রকাশনী এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '05/10/2024', 'publishername': 'জ্ঞানকোষ প্রকাশনী'}"
গ্রাহক আইডি-45903 টিআরএক্স-373222 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-45903', 'trnx': 'টিআরএক্স-373222'}"
এলজি এর নতুন ফ্রিজ এর দাম জানতে ০১৫35881371 নম্বরে কল করুন।,"{'brandname': 'এলজি', 'productname': 'ফ্রিজ', 'phoneno': '০১৫35881371'}"
ফাতেমা বেগম এর স্মার্টওয়াচ অর্ডার অর্ডার-1690 প্রস্তুত।,"{'username': 'ফাতেমা বেগম', 'productname': 'স্মার্টওয়াচ', 'orderno': 'অর্ডার-1690'}"
23/10/2024 তারিখে অর্ডার-8309 অর্ডারটি ০১৯27525659 নম্বরে ডেলিভারি হবে।,"{'date': '23/10/2024', 'orderno': 'অর্ডার-8309', 'phoneno': '০১৯27525659'}"
"রহিম আহমেদ 26/02/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'রহিম আহমেদ', 'date': '26/02/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
17/07/2024 তারিখে অর্ডার-6905 অর্ডারটি ০১৩48739705 নম্বরে ডেলিভারি হবে।,"{'date': '17/07/2024', 'orderno': 'অর্ডার-6905', 'phoneno': '০১৩48739705'}"
সুফিয়া কামাল এর নতুন বই লাল সবুজ এর প্রি-অর্ডার অর্ডার-3491 চলছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'লাল সবুজ', 'orderno': 'অর্ডার-3491'}"
গ্রাহক আইডি-76551 টিআরএক্স-192295 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-76551', 'trnx': 'টিআরএক্স-192295'}"
তানভীর আহমেদ এর এসি অর্ডার অর্ডার-4036 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'এসি', 'orderno': 'অর্ডার-4036'}"
"সৈয়দ শামসুল হক এর গল্প বইগুলি এখন মোহাম্মদপুর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'সৈয়দ শামসুল হক', 'categoryname': 'গল্প', 'address': 'মোহাম্মদপুর, ঢাকা'}"
সৈয়দ মুজতবা আলী এর লেখা দেয়াল বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'দেয়াল', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
রবীন্দ্রনাথ ঠাকুর এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-6382 চলছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-6382'}"
16/01/2024 তারিখে অর্ডার-5847 অর্ডারটি ০১৫31442687 নম্বরে ডেলিভারি হবে।,"{'date': '16/01/2024', 'orderno': 'অর্ডার-5847', 'phoneno': '০১৫31442687'}"
কাস্টমার আইডি আইডি-55951 এর ০১৩38433028 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-55951', 'phoneno': '০১৩38433028'}"
"আহসান হাবীব এর ইতিহাস বইগুলি এখন বনানী, ঢাকা এ পাওয়া যাবে।","{'authorname': 'আহসান হাবীব', 'categoryname': 'ইতিহাস', 'address': 'বনানী, ঢাকা'}"
"নাসরিন সুলতানা মোহাম্মদপুর, ঢাকা থেকে এসি কিনেছেন।","{'username': 'নাসরিন সুলতানা', 'address': 'মোহাম্মদপুর, ঢাকা', 'productname': 'এসি'}"
জসীমউদ্দীন এর লেখা আমি বীরাঙ্গনা বলছি বইটি নলেজ হাউস থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'publishername': 'নলেজ হাউস'}"
অ্যাপল এর নতুন এসি এর দাম জানতে ০১৬20350386 নম্বরে কল করুন।,"{'brandname': 'অ্যাপল', 'productname': 'এসি', 'phoneno': '০১৬20350386'}"
করিম খান এর ফ্রিজ অর্ডার অর্ডার-5314 প্রস্তুত।,"{'username': 'করিম খান', 'productname': 'ফ্রিজ', 'orderno': 'অর্ডার-5314'}"
কাস্টমার আইডি আইডি-45638 এর ০১৬50675399 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-45638', 'phoneno': '০১৬50675399'}"
13/08/2024 থেকে সময় প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '13/08/2024', 'publishername': 'সময় প্রকাশন'}"
আদর্শ প্রকাশন থেকে কবিতা বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'আদর্শ প্রকাশন', 'categoryname': 'কবিতা'}"
কাস্টমার আইডি আইডি-39105 এর ০১৩49391807 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-39105', 'phoneno': '০১৩49391807'}"
কাস্টমার আইডি আইডি-28235 এর ০১৬13281835 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-28235', 'phoneno': '০১৬13281835'}"
এলজি এর আত্মজীবনী পণ্যগুলির উপর ছাড় চলছে।,"{'brandname': 'এলজি', 'categoryname': 'আত্মজীবনী'}"
জসীমউদ্দীন এর লেখা পদ্মা নদীর মাঝি বইটি অনন্য প্রকাশন থেকে প্রকাশিত হয়েছে।,"{'authorname': 'জসীমউদ্দীন', 'bookname': 'পদ্মা নদীর মাঝি', 'publishername': 'অনন্য প্রকাশন'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-8620 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-8620'}"
"তানভীর আহমেদ উত্তরা, ঢাকা থেকে ট্যাবলেট কিনেছেন।","{'username': 'তানভীর আহমেদ', 'address': 'উত্তরা, ঢাকা', 'productname': 'ট্যাবলেট'}"
"করিম খান 26/12/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'করিম খান', 'date': '26/12/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
নলেজ হাউস থেকে বিজ্ঞান বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'নলেজ হাউস', 'categoryname': 'বিজ্ঞান'}"
গ্রাহক আইডি-19302 টিআরএক্স-756909 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-19302', 'trnx': 'টিআরএক্স-756909'}"
শাওমি এর নতুন টেলিভিশন এর দাম জানতে ০১৯83085828 নম্বরে কল করুন।,"{'brandname': 'শাওমি', 'productname': 'টেলিভিশন', 'phoneno': '০১৯83085828'}"
"ফাতেমা বেগম 24/09/2024 তারিখে বারিধারা, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'ফাতেমা বেগম', 'date': '24/09/2024', 'address': 'বারিধারা, ঢাকা'}"
আহসান হাবীব এর নতুন বই আগুনের পরশমণি এর প্রি-অর্ডার অর্ডার-1232 চলছে।,"{'authorname': 'আহসান হাবীব', 'bookname': 'আগুনের পরশমণি', 'orderno': 'অর্ডার-1232'}"
"ফাতেমা বেগম 30/10/2024 তারিখে শান্তিনগর, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'ফাতেমা বেগম', 'date': '30/10/2024', 'address': 'শান্তিনগর, ঢাকা'}"
সামসাং এর নতুন মাইক্রোওয়েভ অভেন এর দাম জানতে ০১৪53112041 নম্বরে কল করুন।,"{'brandname': 'সামসাং', 'productname': 'মাইক্রোওয়েভ অভেন', 'phoneno': '০১৪53112041'}"
"কাজী নজরুল ইসলাম এর ভ্রমণ বইগুলি এখন শান্তিনগর, ঢাকা এ পাওয়া যাবে।","{'authorname': 'কাজী নজরুল ইসলাম', 'categoryname': 'ভ্রমণ', 'address': 'শান্তিনগর, ঢাকা'}"
জামিল হোসেন সম্প্রতি আগুনের পরশমণি বইটি কিনেছেন।,"{'username': 'জামিল হোসেন', 'bookname': 'আগুনের পরশমণি'}"
সুফিয়া কামাল এর নতুন বই হিমু এর প্রি-অর্ডার অর্ডার-4683 চলছে।,"{'authorname': 'সুফিয়া কামাল', 'bookname': 'হিমু', 'orderno': 'অর্ডার-4683'}"
হুয়াওয়ে এর নতুন টেলিভিশন এর দাম জানতে ০১৩10767452 নম্বরে কল করুন।,"{'brandname': 'হুয়াওয়ে', 'productname': 'টেলিভিশন', 'phoneno': '০১৩10767452'}"
"জাহিদ হাসান মিরপুর-১০, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'জাহিদ হাসান', 'address': 'মিরপুর-১০, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
"হুমায়ূন আহমেদ এর গল্প বইগুলি এখন বারিধারা, ঢাকা এ পাওয়া যাবে।","{'authorname': 'হুমায়ূন আহমেদ', 'categoryname': 'গল্প', 'address': 'বারিধারা, ঢাকা'}"
শরৎচন্দ্র চট্টোপাধ্যায় এর নতুন বই আমি বীরাঙ্গনা বলছি এর প্রি-অর্ডার অর্ডার-8247 চলছে।,"{'authorname': 'শরৎচন্দ্র চট্টোপাধ্যায়', 'bookname': 'আমি বীরাঙ্গনা বলছি', 'orderno': 'অর্ডার-8247'}"
গ্রাহক আইডি-60556 টিআরএক্স-662411 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-60556', 'trnx': 'টিআরএক্স-662411'}"
জ্ঞানকোষ প্রকাশনী থেকে জীবনী বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'জ্ঞানকোষ প্রকাশনী', 'categoryname': 'জীবনী'}"
"তানভীর আহমেদ 27/11/2024 তারিখে বনানী, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'তানভীর আহমেদ', 'date': '27/11/2024', 'address': 'বনানী, ঢাকা'}"
ওয়ালটন এর নতুন এসি এর দাম জানতে ০১৫48535332 নম্বরে কল করুন।,"{'brandname': 'ওয়ালটন', 'productname': 'এসি', 'phoneno': '০১৫48535332'}"
কাস্টমার আইডি আইডি-91098 এর ০১৯57473387 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-91098', 'phoneno': '০১৯57473387'}"
রবীন্দ্রনাথ ঠাকুর এর লেখা সীমানা ছাড়িয়ে বইটি বিশ্বসাহিত্য কেন্দ্র থেকে প্রকাশিত হয়েছে।,"{'authorname': 'রবীন্দ্রনাথ ঠাকুর', 'bookname': 'সীমানা ছাড়িয়ে', 'publishername': 'বিশ্বসাহিত্য কেন্দ্র'}"
সৈয়দ মুজতবা আলী এর নতুন বই দেয়াল এর প্রি-অর্ডার অর্ডার-8802 চলছে।,"{'authorname': 'সৈয়দ মুজতবা আলী', 'bookname': 'দেয়াল', 'orderno': 'অর্ডার-8802'}"
হাইয়ার এর নতুন স্মার্টওয়াচ এর দাম জানতে ০১৬74981153 নম্বরে কল করুন।,"{'brandname': 'হাইয়ার', 'productname': 'স্মার্টওয়াচ', 'phoneno': '০১৬74981153'}"
25/11/2024 থেকে সময় প্রকাশন এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '25/11/2024', 'publishername': 'সময় প্রকাশন'}"
13/06/2024 তারিখে অর্ডার-2233 অর্ডারটি ০১৪92151875 নম্বরে ডেলিভারি হবে।,"{'date': '13/06/2024', 'orderno': 'অর্ডার-2233', 'phoneno': '০১৪92151875'}"
অর্ডার নং অর্ডার-6799 এর জন্য টিআরএক্স-755589 পেমেন্ট করা হয়েছে।,"{'orderno': 'অর্ডার-6799', 'trnx': 'টিআরএক্স-755589'}"
তানভীর আহমেদ এর স্মার্ট ফোন অর্ডার অর্ডার-1081 প্রস্তুত।,"{'username': 'তানভীর আহমেদ', 'productname': 'স্মার্ট ফোন', 'orderno': 'অর্ডার-1081'}"
"জামিল হোসেন 14/04/2024 তারিখে মিরপুর-১০, ঢাকা এ নতুন দোকান খুলছেন।","{'username': 'জামিল হোসেন', 'date': '14/04/2024', 'address': 'মিরপুর-১০, ঢাকা'}"
কাস্টমার আইডি আইডি-82040 এর ০১৫82162450 নম্বরে যোগাযোগ করুন।,"{'ID': 'আইডি-82040', 'phoneno': '০১৫82162450'}"
গ্রাহক আইডি-87440 টিআরএক্স-732991 লেনদেনটি সফল হয়েছে।,"{'ID': 'আইডি-87440', 'trnx': 'টিআরএক্স-732991'}"
"ফাতেমা বেগম বনানী, ঢাকা থেকে স্মার্ট ফোন কিনেছেন।","{'username': 'ফাতেমা বেগম', 'address': 'বনানী, ঢাকা', 'productname': 'স্মার্ট ফোন'}"
সময় প্রকাশন থেকে ইতিহাস বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'সময় প্রকাশন', 'categoryname': 'ইতিহাস'}"
"আমিনা খাতুন পূর্বাচল, ঢাকা থেকে মাইক্রোওয়েভ অভেন কিনেছেন।","{'username': 'আমিনা খাতুন', 'address': 'পূর্বাচল, ঢাকা', 'productname': 'মাইক্রোওয়েভ অভেন'}"
সাহিত্য প্রকাশ থেকে আত্মজীবনী বিভাগে নতুন বই প্রকাশিত হয়েছে।,"{'publishername': 'সাহিত্য প্রকাশ', 'categoryname': 'আত্মজীবনী'}"
28/03/2024 থেকে পাঠক সমাবেশ এর সকল বই অনলাইনে পাওয়া যাবে।,"{'date': '28/03/2024', 'publishername': 'পাঠক সমাবেশ'}"
